mean,std,kernel,cache_size,epsilon,C,gamma
-0.08136418889768723,0.09782739148044443,0.01,20,0.002,0.0001,linear
-0.10502161942742191,0.1023757586671776,0.01,20,0.002,0.0001,rbf
-0.08136418889768723,0.09782739148044443,0.01,20,0.002,0.11120000000000001,linear
-0.098315993037279,0.1010708589780049,0.01,20,0.002,0.11120000000000001,rbf
-0.08136418889768723,0.09782739148044443,0.01,20,0.002,0.2223,linear
-0.09342299310521232,0.09995412370233743,0.01,20,0.002,0.2223,rbf
-0.08136418889768723,0.09782739148044443,0.01,20,0.002,0.33340000000000003,linear
-0.08999755394954427,0.09882107049430346,0.01,20,0.002,0.33340000000000003,rbf
-0.08136418889768723,0.09782739148044443,0.01,20,0.002,0.4445,linear
-0.08633669043484951,0.09866701615792602,0.01,20,0.002,0.4445,rbf
-0.08136418889768723,0.09782739148044443,0.01,20,0.002,0.5556,linear
-0.08372654056341597,0.09859078317799677,0.01,20,0.002,0.5556,rbf
-0.08136418889768723,0.09782739148044443,0.01,20,0.002,0.6667000000000001,linear
-0.08287673665874433,0.09873333685853143,0.01,20,0.002,0.6667000000000001,rbf
-0.08136418889768723,0.09782739148044443,0.01,20,0.002,0.7778,linear
-0.08226530982420574,0.098580980321495,0.01,20,0.002,0.7778,rbf
-0.08136418889768723,0.09782739148044443,0.01,20,0.002,0.8889,linear
-0.08195689015634955,0.09851661509129317,0.01,20,0.002,0.8889,rbf
-0.08136418889768723,0.09782739148044443,0.01,20,0.002,1.0,linear
-0.08151841157476174,0.09829578931912802,0.01,20,0.002,1.0,rbf
-0.08158605060492982,0.09781636128578958,0.01,20,0.0001,0.0001,linear
-0.10529171811451452,0.10251905305748564,0.01,20,0.0001,0.0001,rbf
-0.08158605060492982,0.09781636128578958,0.01,20,0.0001,0.11120000000000001,linear
-0.09851365527194254,0.10106791499057895,0.01,20,0.0001,0.11120000000000001,rbf
-0.08158605060492982,0.09781636128578958,0.01,20,0.0001,0.2223,linear
-0.09350133126129281,0.09991135536112247,0.01,20,0.0001,0.2223,rbf
-0.08158605060492982,0.09781636128578958,0.01,20,0.0001,0.33340000000000003,linear
-0.09009836651786285,0.09873418979965692,0.01,20,0.0001,0.33340000000000003,rbf
-0.08158605060492982,0.09781636128578958,0.01,20,0.0001,0.4445,linear
-0.08639037418765502,0.0986053000253117,0.01,20,0.0001,0.4445,rbf
-0.08158605060492982,0.09781636128578958,0.01,20,0.0001,0.5556,linear
-0.08342216853716386,0.0986001643493134,0.01,20,0.0001,0.5556,rbf
-0.08158605060492982,0.09781636128578958,0.01,20,0.0001,0.6667000000000001,linear
-0.08287738342080739,0.09858599486011448,0.01,20,0.0001,0.6667000000000001,rbf
-0.08158605060492982,0.09781636128578958,0.01,20,0.0001,0.7778,linear
-0.08237711436423896,0.09878032649095525,0.01,20,0.0001,0.7778,rbf
-0.08158605060492982,0.09781636128578958,0.01,20,0.0001,0.8889,linear
-0.08206077781192746,0.09850065603785438,0.01,20,0.0001,0.8889,rbf
-0.08158605060492982,0.09781636128578958,0.01,20,0.0001,1.0,linear
-0.0813948612732924,0.098183202643281,0.01,20,0.0001,1.0,rbf
-0.0746492372814612,0.0767665683126863,0.01,30,0.1,0.0001,linear
-0.09157891731985415,0.08116501129592882,0.01,30,0.1,0.0001,rbf
-0.0746492372814612,0.0767665683126863,0.01,30,0.1,0.11120000000000001,linear
-0.08658772352561436,0.08044022642528281,0.01,30,0.1,0.11120000000000001,rbf
-0.0746492372814612,0.0767665683126863,0.01,30,0.1,0.2223,linear
-0.08435395495551826,0.07856781876859123,0.01,30,0.1,0.2223,rbf
-0.0746492372814612,0.0767665683126863,0.01,30,0.1,0.33340000000000003,linear
-0.08155943427343529,0.07778716355237228,0.01,30,0.1,0.33340000000000003,rbf
-0.0746492372814612,0.0767665683126863,0.01,30,0.1,0.4445,linear
-0.07874197508846517,0.07692083975253973,0.01,30,0.1,0.4445,rbf
-0.0746492372814612,0.0767665683126863,0.01,30,0.1,0.5556,linear
-0.07720991644623669,0.07665292656743979,0.01,30,0.1,0.5556,rbf
-0.0746492372814612,0.0767665683126863,0.01,30,0.1,0.6667000000000001,linear
-0.076475836135193,0.07646823747234929,0.01,30,0.1,0.6667000000000001,rbf
-0.0746492372814612,0.0767665683126863,0.01,30,0.1,0.7778,linear
-0.07618040379660615,0.07665970853207432,0.01,30,0.1,0.7778,rbf
-0.0746492372814612,0.0767665683126863,0.01,30,0.1,0.8889,linear
-0.07550140535466508,0.07665976793287822,0.01,30,0.1,0.8889,rbf
-0.0746492372814612,0.0767665683126863,0.01,30,0.1,1.0,linear
-0.07459008425121777,0.07645257819942426,0.01,30,0.1,1.0,rbf
-0.08024328077204963,0.09528998212854776,0.01,30,0.01,0.0001,linear
-0.10193014544985524,0.0995810302411197,0.01,30,0.01,0.0001,rbf
-0.08024328077204963,0.09528998212854776,0.01,30,0.01,0.11120000000000001,linear
-0.09538561528517767,0.0983255610122281,0.01,30,0.01,0.11120000000000001,rbf
-0.08024328077204963,0.09528998212854776,0.01,30,0.01,0.2223,linear
-0.09074395606204384,0.09710315340181402,0.01,30,0.01,0.2223,rbf
-0.08024328077204963,0.09528998212854776,0.01,30,0.01,0.33340000000000003,linear
-0.0874364883395267,0.09668766831694497,0.01,30,0.01,0.33340000000000003,rbf
-0.08024328077204963,0.09528998212854776,0.01,30,0.01,0.4445,linear
-0.08475516607586295,0.09639183164868775,0.01,30,0.01,0.4445,rbf
-0.08024328077204963,0.09528998212854776,0.01,30,0.01,0.5556,linear
-0.08344584187844648,0.09641335365111427,0.01,30,0.01,0.5556,rbf
-0.08024328077204963,0.09528998212854776,0.01,30,0.01,0.6667000000000001,linear
-0.08263630935005303,0.09640336421912377,0.01,30,0.01,0.6667000000000001,rbf
-0.08024328077204963,0.09528998212854776,0.01,30,0.01,0.7778,linear
-0.08159425857049261,0.09629437136054943,0.01,30,0.01,0.7778,rbf
-0.08024328077204963,0.09528998212854776,0.01,30,0.01,0.8889,linear
-0.08071801628805142,0.09602274942182219,0.01,30,0.01,0.8889,rbf
-0.08024328077204963,0.09528998212854776,0.01,30,0.01,1.0,linear
-0.08037092164681195,0.09586007789875559,0.01,30,0.01,1.0,rbf
-0.08151221175551569,0.09784190211537512,0.01,30,0.001,0.0001,linear
-0.10523402223859393,0.10246869670458128,0.01,30,0.001,0.0001,rbf
-0.08151221175551569,0.09784190211537512,0.01,30,0.001,0.11120000000000001,linear
-0.09849463776419701,0.10108991124434608,0.01,30,0.001,0.11120000000000001,rbf
-0.08151221175551569,0.09784190211537512,0.01,30,0.001,0.2223,linear
-0.09347078494093683,0.09994681667003276,0.01,30,0.001,0.2223,rbf
-0.08151221175551569,0.09784190211537512,0.01,30,0.001,0.33340000000000003,linear
-0.09005768319861557,0.09877352161102981,0.01,30,0.001,0.33340000000000003,rbf
-0.08151221175551569,0.09784190211537512,0.01,30,0.001,0.4445,linear
-0.08636633746205065,0.09863739118658969,0.01,30,0.001,0.4445,rbf
-0.08151221175551569,0.09784190211537512,0.01,30,0.001,0.5556,linear
-0.08353580003843575,0.09858322983470068,0.01,30,0.001,0.5556,rbf
-0.08151221175551569,0.09784190211537512,0.01,30,0.001,0.6667000000000001,linear
-0.08283121956968455,0.09863167421288468,0.01,30,0.001,0.6667000000000001,rbf
-0.08151221175551569,0.09784190211537512,0.01,30,0.001,0.7778,linear
-0.08236242926825432,0.09867042470429177,0.01,30,0.001,0.7778,rbf
-0.08151221175551569,0.09784190211537512,0.01,30,0.001,0.8889,linear
-0.08204074010276634,0.09852410290165414,0.01,30,0.001,0.8889,rbf
-0.08151221175551569,0.09784190211537512,0.01,30,0.001,1.0,linear
-0.0814099452980895,0.09823541257344967,0.01,30,0.001,1.0,rbf
-0.08136418889768723,0.09782739148044443,0.01,30,0.002,0.0001,linear
-0.10502161942742191,0.1023757586671776,0.01,30,0.002,0.0001,rbf
-0.08136418889768723,0.09782739148044443,0.01,30,0.002,0.11120000000000001,linear
-0.098315993037279,0.1010708589780049,0.01,30,0.002,0.11120000000000001,rbf
-0.08136418889768723,0.09782739148044443,0.01,30,0.002,0.2223,linear
-0.09342299310521232,0.09995412370233743,0.01,30,0.002,0.2223,rbf
-0.08136418889768723,0.09782739148044443,0.01,30,0.002,0.33340000000000003,linear
-0.08999755394954427,0.09882107049430346,0.01,30,0.002,0.33340000000000003,rbf
-0.08136418889768723,0.09782739148044443,0.01,30,0.002,0.4445,linear
-0.08633669043484951,0.09866701615792602,0.01,30,0.002,0.4445,rbf
-0.08136418889768723,0.09782739148044443,0.01,30,0.002,0.5556,linear
-0.08372654056341597,0.09859078317799677,0.01,30,0.002,0.5556,rbf
-0.08136418889768723,0.09782739148044443,0.01,30,0.002,0.6667000000000001,linear
-0.08287673665874433,0.09873333685853143,0.01,30,0.002,0.6667000000000001,rbf
-0.08136418889768723,0.09782739148044443,0.01,30,0.002,0.7778,linear
-0.08226530982420574,0.098580980321495,0.01,30,0.002,0.7778,rbf
-0.08136418889768723,0.09782739148044443,0.01,30,0.002,0.8889,linear
-0.08195689015634955,0.09851661509129317,0.01,30,0.002,0.8889,rbf
-0.08136418889768723,0.09782739148044443,0.01,30,0.002,1.0,linear
-0.08151841157476174,0.09829578931912802,0.01,30,0.002,1.0,rbf
-0.08158605060492982,0.09781636128578958,0.01,30,0.0001,0.0001,linear
-0.10529171811451452,0.10251905305748564,0.01,30,0.0001,0.0001,rbf
-0.08158605060492982,0.09781636128578958,0.01,30,0.0001,0.11120000000000001,linear
-0.09851365527194254,0.10106791499057895,0.01,30,0.0001,0.11120000000000001,rbf
-0.08158605060492982,0.09781636128578958,0.01,30,0.0001,0.2223,linear
-0.09350133126129281,0.09991135536112247,0.01,30,0.0001,0.2223,rbf
-0.08158605060492982,0.09781636128578958,0.01,30,0.0001,0.33340000000000003,linear
-0.09009836651786285,0.09873418979965692,0.01,30,0.0001,0.33340000000000003,rbf
-0.08158605060492982,0.09781636128578958,0.01,30,0.0001,0.4445,linear
-0.08639037418765502,0.0986053000253117,0.01,30,0.0001,0.4445,rbf
-0.08158605060492982,0.09781636128578958,0.01,30,0.0001,0.5556,linear
-0.08342216853716386,0.0986001643493134,0.01,30,0.0001,0.5556,rbf
-0.08158605060492982,0.09781636128578958,0.01,30,0.0001,0.6667000000000001,linear
-0.08287738342080739,0.09858599486011448,0.01,30,0.0001,0.6667000000000001,rbf
-0.08158605060492982,0.09781636128578958,0.01,30,0.0001,0.7778,linear
-0.08237711436423896,0.09878032649095525,0.01,30,0.0001,0.7778,rbf
-0.08158605060492982,0.09781636128578958,0.01,30,0.0001,0.8889,linear
-0.08206077781192746,0.09850065603785438,0.01,30,0.0001,0.8889,rbf
-0.08158605060492982,0.09781636128578958,0.01,30,0.0001,1.0,linear
-0.0813948612732924,0.098183202643281,0.01,30,0.0001,1.0,rbf
-0.0746492372814612,0.0767665683126863,0.01,50,0.1,0.0001,linear
-0.09157891731985415,0.08116501129592882,0.01,50,0.1,0.0001,rbf
-0.0746492372814612,0.0767665683126863,0.01,50,0.1,0.11120000000000001,linear
-0.08658772352561436,0.08044022642528281,0.01,50,0.1,0.11120000000000001,rbf
-0.0746492372814612,0.0767665683126863,0.01,50,0.1,0.2223,linear
-0.08435395495551826,0.07856781876859123,0.01,50,0.1,0.2223,rbf
-0.0746492372814612,0.0767665683126863,0.01,50,0.1,0.33340000000000003,linear
-0.08155943427343529,0.07778716355237228,0.01,50,0.1,0.33340000000000003,rbf
-0.0746492372814612,0.0767665683126863,0.01,50,0.1,0.4445,linear
-0.07874197508846517,0.07692083975253973,0.01,50,0.1,0.4445,rbf
-0.0746492372814612,0.0767665683126863,0.01,50,0.1,0.5556,linear
-0.07720991644623669,0.07665292656743979,0.01,50,0.1,0.5556,rbf
-0.0746492372814612,0.0767665683126863,0.01,50,0.1,0.6667000000000001,linear
-0.076475836135193,0.07646823747234929,0.01,50,0.1,0.6667000000000001,rbf
-0.0746492372814612,0.0767665683126863,0.01,50,0.1,0.7778,linear
-0.07618040379660615,0.07665970853207432,0.01,50,0.1,0.7778,rbf
-0.0746492372814612,0.0767665683126863,0.01,50,0.1,0.8889,linear
-0.07550140535466508,0.07665976793287822,0.01,50,0.1,0.8889,rbf
-0.0746492372814612,0.0767665683126863,0.01,50,0.1,1.0,linear
-0.07459008425121777,0.07645257819942426,0.01,50,0.1,1.0,rbf
-0.08024328077204963,0.09528998212854776,0.01,50,0.01,0.0001,linear
-0.10193014544985524,0.0995810302411197,0.01,50,0.01,0.0001,rbf
-0.08024328077204963,0.09528998212854776,0.01,50,0.01,0.11120000000000001,linear
-0.09538561528517767,0.0983255610122281,0.01,50,0.01,0.11120000000000001,rbf
-0.08024328077204963,0.09528998212854776,0.01,50,0.01,0.2223,linear
-0.09074395606204384,0.09710315340181402,0.01,50,0.01,0.2223,rbf
-0.08024328077204963,0.09528998212854776,0.01,50,0.01,0.33340000000000003,linear
-0.0874364883395267,0.09668766831694497,0.01,50,0.01,0.33340000000000003,rbf
-0.08024328077204963,0.09528998212854776,0.01,50,0.01,0.4445,linear
-0.08475516607586295,0.09639183164868775,0.01,50,0.01,0.4445,rbf
-0.08024328077204963,0.09528998212854776,0.01,50,0.01,0.5556,linear
-0.08344584187844648,0.09641335365111427,0.01,50,0.01,0.5556,rbf
-0.08024328077204963,0.09528998212854776,0.01,50,0.01,0.6667000000000001,linear
-0.08263630935005303,0.09640336421912377,0.01,50,0.01,0.6667000000000001,rbf
-0.08024328077204963,0.09528998212854776,0.01,50,0.01,0.7778,linear
-0.08159425857049261,0.09629437136054943,0.01,50,0.01,0.7778,rbf
-0.08024328077204963,0.09528998212854776,0.01,50,0.01,0.8889,linear
-0.08071801628805142,0.09602274942182219,0.01,50,0.01,0.8889,rbf
-0.08024328077204963,0.09528998212854776,0.01,50,0.01,1.0,linear
-0.08037092164681195,0.09586007789875559,0.01,50,0.01,1.0,rbf
-0.08151221175551569,0.09784190211537512,0.01,50,0.001,0.0001,linear
-0.10523402223859393,0.10246869670458128,0.01,50,0.001,0.0001,rbf
-0.08151221175551569,0.09784190211537512,0.01,50,0.001,0.11120000000000001,linear
-0.09849463776419701,0.10108991124434608,0.01,50,0.001,0.11120000000000001,rbf
-0.08151221175551569,0.09784190211537512,0.01,50,0.001,0.2223,linear
-0.09347078494093683,0.09994681667003276,0.01,50,0.001,0.2223,rbf
-0.08151221175551569,0.09784190211537512,0.01,50,0.001,0.33340000000000003,linear
-0.09005768319861557,0.09877352161102981,0.01,50,0.001,0.33340000000000003,rbf
-0.08151221175551569,0.09784190211537512,0.01,50,0.001,0.4445,linear
-0.08636633746205065,0.09863739118658969,0.01,50,0.001,0.4445,rbf
-0.08151221175551569,0.09784190211537512,0.01,50,0.001,0.5556,linear
-0.08353580003843575,0.09858322983470068,0.01,50,0.001,0.5556,rbf
-0.08151221175551569,0.09784190211537512,0.01,50,0.001,0.6667000000000001,linear
-0.08283121956968455,0.09863167421288468,0.01,50,0.001,0.6667000000000001,rbf
-0.08151221175551569,0.09784190211537512,0.01,50,0.001,0.7778,linear
-0.08236242926825432,0.09867042470429177,0.01,50,0.001,0.7778,rbf
-0.08151221175551569,0.09784190211537512,0.01,50,0.001,0.8889,linear
-0.08204074010276634,0.09852410290165414,0.01,50,0.001,0.8889,rbf
-0.08151221175551569,0.09784190211537512,0.01,50,0.001,1.0,linear
-0.0814099452980895,0.09823541257344967,0.01,50,0.001,1.0,rbf
-0.08136418889768723,0.09782739148044443,0.01,50,0.002,0.0001,linear
-0.10502161942742191,0.1023757586671776,0.01,50,0.002,0.0001,rbf
-0.08136418889768723,0.09782739148044443,0.01,50,0.002,0.11120000000000001,linear
-0.098315993037279,0.1010708589780049,0.01,50,0.002,0.11120000000000001,rbf
-0.08136418889768723,0.09782739148044443,0.01,50,0.002,0.2223,linear
-0.09342299310521232,0.09995412370233743,0.01,50,0.002,0.2223,rbf
-0.08136418889768723,0.09782739148044443,0.01,50,0.002,0.33340000000000003,linear
-0.08999755394954427,0.09882107049430346,0.01,50,0.002,0.33340000000000003,rbf
-0.08136418889768723,0.09782739148044443,0.01,50,0.002,0.4445,linear
-0.08633669043484951,0.09866701615792602,0.01,50,0.002,0.4445,rbf
-0.08136418889768723,0.09782739148044443,0.01,50,0.002,0.5556,linear
-0.08372654056341597,0.09859078317799677,0.01,50,0.002,0.5556,rbf
-0.08136418889768723,0.09782739148044443,0.01,50,0.002,0.6667000000000001,linear
-0.08287673665874433,0.09873333685853143,0.01,50,0.002,0.6667000000000001,rbf
-0.08136418889768723,0.09782739148044443,0.01,50,0.002,0.7778,linear
-0.08226530982420574,0.098580980321495,0.01,50,0.002,0.7778,rbf
-0.08136418889768723,0.09782739148044443,0.01,50,0.002,0.8889,linear
-0.08195689015634955,0.09851661509129317,0.01,50,0.002,0.8889,rbf
-0.08136418889768723,0.09782739148044443,0.01,50,0.002,1.0,linear
-0.08151841157476174,0.09829578931912802,0.01,50,0.002,1.0,rbf
-0.08158605060492982,0.09781636128578958,0.01,50,0.0001,0.0001,linear
-0.10529171811451452,0.10251905305748564,0.01,50,0.0001,0.0001,rbf
-0.08158605060492982,0.09781636128578958,0.01,50,0.0001,0.11120000000000001,linear
-0.09851365527194254,0.10106791499057895,0.01,50,0.0001,0.11120000000000001,rbf
-0.08158605060492982,0.09781636128578958,0.01,50,0.0001,0.2223,linear
-0.09350133126129281,0.09991135536112247,0.01,50,0.0001,0.2223,rbf
-0.08158605060492982,0.09781636128578958,0.01,50,0.0001,0.33340000000000003,linear
-0.09009836651786285,0.09873418979965692,0.01,50,0.0001,0.33340000000000003,rbf
-0.08158605060492982,0.09781636128578958,0.01,50,0.0001,0.4445,linear
-0.08639037418765502,0.0986053000253117,0.01,50,0.0001,0.4445,rbf
-0.08158605060492982,0.09781636128578958,0.01,50,0.0001,0.5556,linear
-0.08342216853716386,0.0986001643493134,0.01,50,0.0001,0.5556,rbf
-0.08158605060492982,0.09781636128578958,0.01,50,0.0001,0.6667000000000001,linear
-0.08287738342080739,0.09858599486011448,0.01,50,0.0001,0.6667000000000001,rbf
-0.08158605060492982,0.09781636128578958,0.01,50,0.0001,0.7778,linear
-0.08237711436423896,0.09878032649095525,0.01,50,0.0001,0.7778,rbf
-0.08158605060492982,0.09781636128578958,0.01,50,0.0001,0.8889,linear
-0.08206077781192746,0.09850065603785438,0.01,50,0.0001,0.8889,rbf
-0.08158605060492982,0.09781636128578958,0.01,50,0.0001,1.0,linear
-0.0813948612732924,0.098183202643281,0.01,50,0.0001,1.0,rbf
-0.06094174008432633,0.0721784517577417,111.12,100,0.1,0.0001,linear
-0.06308849776145144,0.07239852393265209,111.12,100,0.1,0.0001,rbf
-0.06094174008432633,0.0721784517577417,111.12,100,0.1,0.11120000000000001,linear
-0.06060600841826656,0.06913392120682318,111.12,100,0.1,0.11120000000000001,rbf
-0.06094174008432633,0.0721784517577417,111.12,100,0.1,0.2223,linear
-0.0660016277298455,0.06752123797868338,111.12,100,0.1,0.2223,rbf
-0.06094174008432633,0.0721784517577417,111.12,100,0.1,0.33340000000000003,linear
-0.07727229223338442,0.06887260409384104,111.12,100,0.1,0.33340000000000003,rbf
-0.06094174008432633,0.0721784517577417,111.12,100,0.1,0.4445,linear
-0.08085298140944099,0.0686437192635514,111.12,100,0.1,0.4445,rbf
-0.06094174008432633,0.0721784517577417,111.12,100,0.1,0.5556,linear
-0.08698024106243743,0.07208320912496478,111.12,100,0.1,0.5556,rbf
-0.06094174008432633,0.0721784517577417,111.12,100,0.1,0.6667000000000001,linear
-0.08884028701010405,0.07405266638083124,111.12,100,0.1,0.6667000000000001,rbf
-0.06094174008432633,0.0721784517577417,111.12,100,0.1,0.7778,linear
-0.08846044817840318,0.07196940385103476,111.12,100,0.1,0.7778,rbf
-0.06094174008432633,0.0721784517577417,111.12,100,0.1,0.8889,linear
-0.08995989615842283,0.0700388171601879,111.12,100,0.1,0.8889,rbf
-0.06094174008432633,0.0721784517577417,111.12,100,0.1,1.0,linear
-0.09193976599068825,0.06908750384343725,111.12,100,0.1,1.0,rbf
-0.0383484538208622,0.039112790481228024,111.12,100,0.01,0.0001,linear
-0.07307870355882151,0.09165243760042915,111.12,100,0.01,0.0001,rbf
-0.0383484538208622,0.039112790481228024,111.12,100,0.01,0.11120000000000001,linear
-0.028909086761180237,0.022257184171286908,111.12,100,0.01,0.11120000000000001,rbf
-0.0383484538208622,0.039112790481228024,111.12,100,0.01,0.2223,linear
-0.032928313357392276,0.025446351561006452,111.12,100,0.01,0.2223,rbf
-0.0383484538208622,0.039112790481228024,111.12,100,0.01,0.33340000000000003,linear
